***2D Rectangular Problem***
***Instances for the Single Large Object Placement Problem (SLOPP)***
Input parameter file: oi.txt
***************************************************************************************************************
Total number of instances 
LargeObject.Length	LargeObject.Width
Number of different item types (i)
Item[i].Length	Item[i].Width	Item[i].LowerBoundDemand	Item[i].UpperBoundDemand	Item[i].Value
***************************************************************************************************************
500
150	150
80
7	12	80	80	84
9	20	80	80	180
1	11	80	80	11
50	13	80	80	650
33	11	80	80	363
13	9	80	80	117
1	21	80	80	21
28	19	80	80	532
21	15	80	80	315
46	34	80	80	1564
41	4	80	80	164
1	12	80	80	12
51	7	80	80	357
17	13	80	80	221
25	25	80	80	625
3	24	80	80	72
43	29	80	80	1247
4	28	80	80	112
54	19	80	80	1026
54	10	80	80	540
55	24	80	80	1320
35	18	80	80	630
1	1	80	80	1
24	5	80	80	120
14	4	80	80	56
41	16	80	80	656
3	17	80	80	51
5	7	80	80	35
46	6	80	80	276
50	29	80	80	1450
1	6	80	80	6
27	23	80	80	621
11	23	80	80	253
55	8	80	80	440
24	7	80	80	168
8	5	80	80	40
2	23	80	80	46
15	15	80	80	225
52	27	80	80	1404
42	7	80	80	294
51	13	80	80	663
3	28	80	80	84
43	6	80	80	258
19	17	80	80	323
2	10	80	80	20
20	14	80	80	280
44	30	80	80	1320
51	16	80	80	816
46	8	80	80	368
41	11	80	80	451
35	10	80	80	350
53	15	80	80	795
48	5	80	80	240
14	14	80	80	196
40	36	80	80	1440
24	22	80	80	528
16	9	80	80	144
10	30	80	80	300
6	17	80	80	102
15	38	80	80	570
55	35	80	80	1925
51	17	80	80	867
3	8	80	80	24
33	16	80	80	528
1	9	80	80	9
52	17	80	80	884
4	10	80	80	40
26	25	80	80	650
1	19	80	80	19
28	8	80	80	224
42	14	80	80	588
54	28	80	80	1512
47	20	80	80	940
55	34	80	80	1870
14	24	80	80	336
20	5	80	80	100
52	23	80	80	1196
36	10	80	80	360
53	5	80	80	265
55	10	80	80	550
150	150
80
15	23	80	80	345
28	17	80	80	476
16	17	80	80	272
22	28	80	80	616
55	3	80	80	165
26	6	80	80	156
49	9	80	80	441
53	6	80	80	318
36	20	80	80	720
1	23	80	80	23
4	17	80	80	68
30	11	80	80	330
18	7	80	80	126
50	11	80	80	550
42	9	80	80	378
1	9	80	80	9
52	8	80	80	416
24	1	80	80	24
29	8	80	80	232
8	24	80	80	192
47	26	80	80	1222
48	19	80	80	912
46	28	80	80	1288
55	12	80	80	660
1	21	80	80	21
32	14	80	80	448
55	17	80	80	935
3	11	80	80	33
42	13	80	80	546
47	25	80	80	1175
2	15	80	80	30
32	7	80	80	224
1	17	80	80	17
48	10	80	80	480
3	12	80	80	36
55	26	80	80	1430
1	6	80	80	6
12	17	80	80	204
40	17	80	80	680
6	22	80	80	132
4	6	80	80	24
46	8	80	80	368
13	33	80	80	429
40	7	80	80	280
28	2	80	80	56
1	3	80	80	3
54	17	80	80	918
35	15	80	80	525
22	21	80	80	462
10	36	80	80	360
55	19	80	80	1045
1	5	80	80	5
27	8	80	80	216
41	18	80	80	738
19	22	80	80	418
2	12	80	80	24
34	20	80	80	680
3	28	80	80	84
51	7	80	80	357
2	19	80	80	38
11	15	80	80	165
49	29	80	80	1421
17	13	80	80	221
30	6	80	80	180
48	8	80	80	384
39	24	80	80	936
14	10	80	80	140
2	26	80	80	52
41	10	80	80	410
1	20	80	80	20
39	11	80	80	429
11	9	80	80	99
1	19	80	80	19
38	13	80	80	494
36	37	80	80	1332
5	43	80	80	215
34	16	80	80	544
55	6	80	80	330
17	31	80	80	527
46	30	80	80	1380
150	150
80
1	19	80	80	19
36	9	80	80	324
2	2	80	80	4
54	31	80	80	1674
12	23	80	80	276
54	21	80	80	1134
16	18	80	80	288
1	11	80	80	11
55	17	80	80	935
51	20	80	80	1020
16	13	80	80	208
46	24	80	80	1104
40	6	80	80	240
39	4	80	80	156
4	11	80	80	44
53	7	80	80	371
47	19	80	80	893
17	10	80	80	170
51	30	80	80	1530
55	25	80	80	1375
38	7	80	80	266
55	21	80	80	1155
4	20	80	80	80
3	10	80	80	30
51	14	80	80	714
43	11	80	80	473
21	18	80	80	378
10	31	80	80	310
49	7	80	80	343
55	9	80	80	495
30	25	80	80	750
1	26	80	80	26
49	11	80	80	539
29	14	80	80	406
43	7	80	80	301
1	9	80	80	9
54	18	80	80	972
13	4	80	80	52
9	22	80	80	198
40	22	80	80	880
27	21	80	80	567
55	35	80	80	1925
12	15	80	80	180
6	10	80	80	60
45	22	80	80	990
52	9	80	80	468
6	12	80	80	72
13	6	80	80	78
24	20	80	80	480
36	6	80	80	216
19	23	80	80	437
1	5	80	80	5
25	10	80	80	250
6	11	80	80	66
52	18	80	80	936
1	24	80	80	24
4	22	80	80	88
41	8	80	80	328
55	10	80	80	550
26	36	80	80	936
10	23	80	80	230
1	15	80	80	15
46	13	80	80	598
50	10	80	80	500
54	8	80	80	432
20	7	80	80	140
1	14	80	80	14
45	6	80	80	270
15	29	80	80	435
31	14	80	80	434
43	5	80	80	215
7	5	80	80	35
54	24	80	80	1296
17	21	80	80	357
37	13	80	80	481
53	14	80	80	742
10	15	80	80	150
18	23	80	80	414
31	36	80	80	1116
16	9	80	80	144
150	150
80
49	9	80	80	441
6	9	80	80	54
45	15	80	80	675
54	21	80	80	1134
28	17	80	80	476
55	11	80	80	605
11	8	80	80	88
12	16	80	80	192
33	12	80	80	396
33	29	80	80	957
1	12	80	80	12
54	27	80	80	1458
36	26	80	80	936
41	27	80	80	1107
55	14	80	80	770
52	1	80	80	52
50	8	80	80	400
1	16	80	80	16
35	15	80	80	525
15	5	80	80	75
22	12	80	80	264
8	11	80	80	88
42	24	80	80	1008
6	15	80	80	90
20	16	80	80	320
3	7	80	80	21
13	9	80	80	117
15	10	80	80	150
25	34	80	80	850
52	39	80	80	2028
34	13	80	80	442
50	14	80	80	700
31	6	80	80	186
28	7	80	80	196
52	21	80	80	1092
21	9	80	80	189
29	24	80	80	696
40	4	80	80	160
3	1	80	80	3
17	11	80	80	187
5	3	80	80	15
34	10	80	80	340
9	13	80	80	117
7	20	80	80	140
55	9	80	80	495
18	11	80	80	198
53	17	80	80	901
55	15	80	80	825
28	9	80	80	252
47	8	80	80	376
4	24	80	80	96
42	3	80	80	126
6	2	80	80	12
16	18	80	80	288
1	27	80	80	27
54	26	80	80	1404
33	22	80	80	726
47	16	80	80	752
17	14	80	80	238
31	12	80	80	372
24	16	80	80	384
37	15	80	80	555
21	29	80	80	609
55	4	80	80	220
17	15	80	80	255
13	5	80	80	65
47	7	80	80	329
2	7	80	80	14
28	11	80	80	308
1	10	80	80	10
9	14	80	80	126
3	12	80	80	36
52	16	80	80	832
45	14	80	80	630
6	6	80	80	36
51	8	80	80	408
7	22	80	80	154
51	29	80	80	1479
24	19	80	80	456
46	12	80	80	552
150	150
80
35	27	80	80	945
1	7	80	80	7
39	12	80	80	468
2	18	80	80	36
14	5	80	80	70
24	15	80	80	360
53	10	80	80	530
9	19	80	80	171
16	14	80	80	224
10	9	80	80	90
1	16	80	80	16
38	28	80	80	1064
5	36	80	80	180
36	20	80	80	720
35	11	80	80	385
18	34	80	80	612
24	17	80	80	408
26	3	80	80	78
3	27	80	80	81
55	26	80	80	1430
35	23	80	80	805
45	6	80	80	270
45	23	80	80	1035
46	3	80	80	138
19	7	80	80	133
40	19	80	80	760
8	5	80	80	40
54	28	80	80	1512
28	28	80	80	784
1	30	80	80	30
43	18	80	80	774
17	18	80	80	306
55	28	80	80	1540
47	10	80	80	470
10	18	80	80	180
1	10	80	80	10
29	6	80	80	174
54	6	80	80	324
30	27	80	80	810
11	7	80	80	77
3	28	80	80	84
33	23	80	80	759
30	10	80	80	300
50	23	80	80	1150
49	35	80	80	1715
19	16	80	80	304
47	15	80	80	705
41	8	80	80	328
15	7	80	80	105
42	11	80	80	462
28	14	80	80	392
13	14	80	80	182
51	26	80	80	1326
27	13	80	80	351
53	11	80	80	583
12	14	80	80	168
49	38	80	80	1862
10	24	80	80	240
55	6	80	80	330
12	19	80	80	228
49	12	80	80	588
24	11	80	80	264
2	19	80	80	38
37	21	80	80	777
55	29	80	80	1595
55	8	80	80	440
3	11	80	80	33
30	26	80	80	780
7	7	80	80	49
47	23	80	80	1081
38	32	80	80	1216
20	24	80	80	480
55	14	80	80	770
9	26	80	80	234
54	7	80	80	378
34	12	80	80	408
52	7	80	80	364
36	9	80	80	324
43	8	80	80	344
3	23	80	80	69
150	150
80
27	8	80	80	216
35	19	80	80	665
1	7	80	80	7
41	26	80	80	1066
41	31	80	80	1271
29	8	80	80	232
55	10	80	80	550
2	16	80	80	32
17	22	80	80	374
6	8	80	80	48
1	12	80	80	12
14	3	80	80	42
1	15	80	80	15
55	27	80	80	1485
5	22	80	80	110
54	5	80	80	270
37	18	80	80	666
9	19	80	80	171
40	17	80	80	680
5	7	80	80	35
47	25	80	80	1175
52	26	80	80	1352
1	16	80	80	16
10	4	80	80	40
5	33	80	80	165
20	9	80	80	180
55	9	80	80	495
28	13	80	80	364
11	20	80	80	220
4	17	80	80	68
46	9	80	80	414
26	25	80	80	650
15	8	80	80	120
52	19	80	80	988
35	20	80	80	700
6	28	80	80	168
55	7	80	80	385
40	6	80	80	240
1	17	80	80	17
46	2	80	80	92
53	15	80	80	795
44	36	80	80	1584
16	17	80	80	272
50	12	80	80	600
23	5	80	80	115
55	28	80	80	1540
8	18	80	80	144
54	20	80	80	1080
20	6	80	80	120
13	4	80	80	52
1	6	80	80	6
34	18	80	80	612
3	15	80	80	45
13	14	80	80	182
38	12	80	80	456
32	5	80	80	160
54	11	80	80	594
42	16	80	80	672
3	20	80	80	60
49	22	80	80	1078
52	15	80	80	780
50	22	80	80	1100
34	22	80	80	748
12	32	80	80	384
3	33	80	80	99
49	30	80	80	1470
33	20	80	80	660
36	10	80	80	360
24	15	80	80	360
22	19	80	80	418
25	4	80	80	100
13	17	80	80	221
55	18	80	80	990
44	7	80	80	308
49	9	80	80	441
39	20	80	80	780
48	8	80	80	384
6	26	80	80	156
6	21	80	80	126
6	7	80	80	42
150	150
80
4	26	80	80	104
22	7	80	80	154
26	18	80	80	468
10	15	80	80	150
43	19	80	80	817
21	6	80	80	126
15	17	80	80	255
18	2	80	80	36
5	24	80	80	120
10	8	80	80	80
3	17	80	80	51
5	17	80	80	85
27	23	80	80	621
10	11	80	80	110
17	5	80	80	85
36	10	80	80	360
46	18	80	80	828
54	31	80	80	1674
34	27	80	80	918
8	16	80	80	128
27	11	80	80	297
24	14	80	80	336
2	9	80	80	18
1	9	80	80	9
26	14	80	80	364
37	27	80	80	999
5	5	80	80	25
51	1	80	80	51
54	14	80	80	756
9	2	80	80	18
53	21	80	80	1113
50	7	80	80	350
54	13	80	80	702
9	14	80	80	126
47	30	80	80	1410
33	2	80	80	66
47	11	80	80	517
28	9	80	80	252
11	17	80	80	187
52	28	80	80	1456
44	6	80	80	264
15	36	80	80	540
2	8	80	80	16
28	19	80	80	532
29	7	80	80	203
4	14	80	80	56
11	10	80	80	110
49	21	80	80	1029
48	12	80	80	576
44	8	80	80	352
5	27	80	80	135
37	9	80	80	333
55	13	80	80	715
7	9	80	80	63
30	6	80	80	180
44	1	80	80	44
12	4	80	80	48
55	26	80	80	1430
47	8	80	80	376
24	11	80	80	264
3	18	80	80	54
14	8	80	80	112
2	4	80	80	8
53	12	80	80	636
3	29	80	80	87
52	11	80	80	572
32	31	80	80	992
40	13	80	80	520
14	31	80	80	434
25	19	80	80	475
50	26	80	80	1300
34	8	80	80	272
16	42	80	80	672
41	36	80	80	1476
54	23	80	80	1242
21	2	80	80	42
22	17	80	80	374
2	28	80	80	56
6	13	80	80	78
12	22	80	80	264
150	150
80
37	26	80	80	962
47	10	80	80	470
48	3	80	80	144
10	7	80	80	70
13	12	80	80	156
46	27	80	80	1242
1	21	80	80	21
33	13	80	80	429
10	6	80	80	60
50	24	80	80	1200
6	2	80	80	12
2	10	80	80	20
48	30	80	80	1440
49	9	80	80	441
55	13	80	80	715
52	27	80	80	1404
51	17	80	80	867
21	15	80	80	315
5	11	80	80	55
33	6	80	80	198
7	9	80	80	63
15	34	80	80	510
8	13	80	80	104
48	20	80	80	960
48	27	80	80	1296
52	22	80	80	1144
17	12	80	80	204
2	20	80	80	40
46	13	80	80	598
9	8	80	80	72
50	18	80	80	900
22	20	80	80	440
40	15	80	80	600
18	7	80	80	126
35	32	80	80	1120
8	29	80	80	232
12	13	80	80	156
11	12	80	80	132
14	11	80	80	154
6	28	80	80	168
50	19	80	80	950
4	9	80	80	36
46	9	80	80	414
20	13	80	80	260
11	3	80	80	33
1	9	80	80	9
8	19	80	80	152
50	16	80	80	800
44	20	80	80	880
37	11	80	80	407
8	15	80	80	120
55	9	80	80	495
24	12	80	80	288
2	18	80	80	36
6	24	80	80	144
1	11	80	80	11
35	29	80	80	1015
31	7	80	80	217
42	10	80	80	420
42	22	80	80	924
47	14	80	80	658
1	30	80	80	30
1	15	80	80	15
21	6	80	80	126
4	8	80	80	32
49	12	80	80	588
5	25	80	80	125
53	17	80	80	901
1	3	80	80	3
27	23	80	80	621
1	16	80	80	16
46	10	80	80	460
53	15	80	80	795
5	30	80	80	150
35	13	80	80	455
45	10	80	80	450
3	5	80	80	15
53	16	80	80	848
55	24	80	80	1320
30	10	80	80	300
150	150
80
55	34	80	80	1870
1	36	80	80	36
55	19	80	80	1045
4	13	80	80	52
55	20	80	80	1100
9	16	80	80	144
11	14	80	80	154
55	17	80	80	935
47	38	80	80	1786
1	10	80	80	10
8	34	80	80	272
53	8	80	80	424
27	32	80	80	864
2	10	80	80	20
30	28	80	80	840
1	33	80	80	33
4	9	80	80	36
31	15	80	80	465
1	14	80	80	14
1	18	80	80	18
51	30	80	80	1530
51	16	80	80	816
13	19	80	80	247
55	6	80	80	330
54	17	80	80	918
8	17	80	80	136
2	7	80	80	14
10	9	80	80	90
16	8	80	80	128
39	5	80	80	195
52	13	80	80	676
6	16	80	80	96
8	10	80	80	80
8	24	80	80	192
24	12	80	80	288
17	19	80	80	323
52	16	80	80	832
24	16	80	80	384
32	2	80	80	64
52	11	80	80	572
53	10	80	80	530
6	6	80	80	36
20	20	80	80	400
45	10	80	80	450
50	11	80	80	550
53	11	80	80	583
19	17	80	80	323
36	10	80	80	360
11	18	80	80	198
3	9	80	80	27
21	27	80	80	567
55	13	80	80	715
20	27	80	80	540
41	13	80	80	533
55	33	80	80	1815
36	9	80	80	324
8	33	80	80	264
54	5	80	80	270
1	24	80	80	24
33	29	80	80	957
8	11	80	80	88
15	30	80	80	450
55	26	80	80	1430
31	34	80	80	1054
29	25	80	80	725
7	35	80	80	245
42	10	80	80	420
55	7	80	80	385
14	14	80	80	196
20	17	80	80	340
49	11	80	80	539
52	3	80	80	156
1	28	80	80	28
45	25	80	80	1125
55	16	80	80	880
1	16	80	80	16
31	19	80	80	589
55	32	80	80	1760
26	29	80	80	754
38	24	80	80	912
150	150
80
1	6	80	80	6
6	24	80	80	144
41	16	80	80	656
2	2	80	80	4
6	10	80	80	60
52	13	80	80	676
39	28	80	80	1092
52	14	80	80	728
34	5	80	80	170
2	7	80	80	14
9	8	80	80	72
35	7	80	80	245
22	31	80	80	682
47	11	80	80	517
42	30	80	80	1260
55	24	80	80	1320
16	7	80	80	112
46	30	80	80	1380
48	19	80	80	912
1	3	80	80	3
1	19	80	80	19
40	10	80	80	400
27	4	80	80	108
55	16	80	80	880
50	7	80	80	350
46	38	80	80	1748
9	16	80	80	144
23	18	80	80	414
5	27	80	80	135
34	32	80	80	1088
46	31	80	80	1426
22	41	80	80	902
11	9	80	80	99
13	14	80	80	182
10	4	80	80	40
1	5	80	80	5
46	25	80	80	1150
1	9	80	80	9
9	10	80	80	90
5	14	80	80	70
30	11	80	80	330
48	11	80	80	528
44	15	80	80	660
31	8	80	80	248
20	28	80	80	560
44	24	80	80	1056
30	5	80	80	150
54	11	80	80	594
39	18	80	80	702
53	6	80	80	318
25	21	80	80	525
17	4	80	80	68
40	14	80	80	560
38	17	80	80	646
50	8	80	80	400
18	13	80	80	234
8	29	80	80	232
54	6	80	80	324
19	19	80	80	361
5	20	80	80	100
21	4	80	80	84
45	15	80	80	675
2	21	80	80	42
1	25	80	80	25
55	15	80	80	825
25	18	80	80	450
28	36	80	80	1008
21	39	80	80	819
45	11	80	80	495
13	6	80	80	78
52	29	80	80	1508
8	33	80	80	264
8	14	80	80	112
42	19	80	80	798
22	16	80	80	352
1	7	80	80	7
55	9	80	80	495
18	22	80	80	396
47	35	80	80	1645
6	17	80	80	102
150	150
80
2	16	80	80	32
1	12	80	80	12
49	14	80	80	686
20	16	80	80	320
55	17	80	80	935
17	9	80	80	153
19	11	80	80	209
24	15	80	80	360
9	24	80	80	216
6	20	80	80	120
49	36	80	80	1764
55	5	80	80	275
21	12	80	80	252
22	8	80	80	176
2	17	80	80	34
1	34	80	80	34
1	17	80	80	17
21	17	80	80	357
32	16	80	80	512
55	39	80	80	2145
12	23	80	80	276
5	21	80	80	105
18	23	80	80	414
1	25	80	80	25
38	16	80	80	608
18	31	80	80	558
53	7	80	80	371
19	10	80	80	190
54	15	80	80	810
24	1	80	80	24
1	20	80	80	20
25	7	80	80	175
43	11	80	80	473
43	29	80	80	1247
2	9	80	80	18
52	14	80	80	728
3	7	80	80	21
33	7	80	80	231
55	6	80	80	330
55	12	80	80	660
15	8	80	80	120
10	24	80	80	240
50	19	80	80	950
21	33	80	80	693
53	16	80	80	848
40	10	80	80	400
24	36	80	80	864
1	15	80	80	15
27	35	80	80	945
43	7	80	80	301
26	9	80	80	234
42	11	80	80	462
25	4	80	80	100
29	28	80	80	812
46	9	80	80	414
1	23	80	80	23
1	35	80	80	35
1	41	80	80	41
48	6	80	80	288
54	18	80	80	972
12	13	80	80	156
13	18	80	80	234
