***2D Rectangular Problem***
***Instances for the Single Large Object Placement Problem (SLOPP)***
Input parameter file: oi.txt
***************************************************************************************************************
Total number of instances 
LargeObject.Length	LargeObject.Width
Number of different item types (i)
Item[i].Length	Item[i].Width	Item[i].LowerBoundDemand	Item[i].UpperBoundDemand	Item[i].Value
***************************************************************************************************************
500
150	150
77
17	19	90	90	323
17	24	90	90	408
16	18	90	90	288
25	20	90	90	500
22	18	90	90	396
18	17	90	90	306
16	25	90	90	400
21	23	90	90	483
20	21	90	90	420
25	26	90	90	650
24	16	90	90	384
16	19	90	90	304
26	16	90	90	416
19	19	90	90	361
20	26	90	90	520
16	26	90	90	416
24	26	90	90	624
23	26	90	90	598
23	22	90	90	506
20	16	90	90	320
26	22	90	90	572
26	26	90	90	676
17	18	90	90	306
16	16	90	90	256
16	22	90	90	352
21	26	90	90	546
24	25	90	90	600
18	21	90	90	378
26	24	90	90	624
16	17	90	90	272
25	16	90	90	400
25	18	90	90	450
16	24	90	90	384
17	16	90	90	272
19	18	90	90	342
26	23	90	90	598
17	22	90	90	374
21	20	90	90	420
20	24	90	90	480
19	23	90	90	437
23	24	90	90	552
17	17	90	90	289
25	17	90	90	425
24	18	90	90	432
22	17	90	90	374
26	21	90	90	546
20	18	90	90	360
23	16	90	90	368
23	23	90	90	529
22	16	90	90	352
17	23	90	90	391
18	26	90	90	468
26	17	90	90	442
17	26	90	90	442
22	23	90	90	506
16	20	90	90	320
25	21	90	90	525
24	24	90	90	576
18	22	90	90	396
20	25	90	90	500
23	17	90	90	391
18	25	90	90	450
20	20	90	90	400
16	21	90	90	336
18	20	90	90	360
21	16	90	90	336
26	20	90	90	520
23	21	90	90	483
25	23	90	90	575
18	16	90	90	288
24	19	90	90	456
24	17	90	90	408
23	20	90	90	460
22	24	90	90	528
19	21	90	90	399
26	19	90	90	494
24	20	90	90	480
150	150
71
22	21	90	90	462
26	16	90	90	416
26	23	90	90	598
26	25	90	90	650
22	16	90	90	352
18	16	90	90	288
19	26	90	90	494
16	23	90	90	368
19	20	90	90	380
20	21	90	90	420
24	25	90	90	600
22	22	90	90	484
20	16	90	90	320
23	16	90	90	368
25	20	90	90	500
16	19	90	90	304
17	22	90	90	374
23	19	90	90	437
25	16	90	90	400
18	26	90	90	468
24	18	90	90	432
16	21	90	90	336
26	17	90	90	442
21	16	90	90	336
25	18	90	90	450
16	17	90	90	272
21	26	90	90	546
16	16	90	90	256
24	23	90	90	552
19	25	90	90	475
23	25	90	90	575
24	16	90	90	384
16	26	90	90	416
24	19	90	90	456
25	26	90	90	650
24	24	90	90	576
20	19	90	90	380
26	26	90	90	676
16	25	90	90	400
17	18	90	90	306
16	24	90	90	384
24	20	90	90	480
19	19	90	90	361
17	21	90	90	357
24	26	90	90	624
25	23	90	90	575
23	23	90	90	529
17	20	90	90	340
17	17	90	90	289
18	24	90	90	432
17	25	90	90	425
16	18	90	90	288
25	17	90	90	425
23	18	90	90	414
26	22	90	90	572
26	24	90	90	624
25	22	90	90	550
18	23	90	90	414
16	22	90	90	352
20	25	90	90	500
20	20	90	90	400
16	20	90	90	320
18	21	90	90	378
26	20	90	90	520
20	24	90	90	480
26	18	90	90	468
24	22	90	90	528
25	21	90	90	525
26	21	90	90	546
18	19	90	90	342
17	16	90	90	272
150	150
56
19	26	90	90	494
26	21	90	90	546
20	26	90	90	520
26	26	90	90	676
18	16	90	90	288
18	18	90	90	324
21	17	90	90	357
20	24	90	90	480
25	26	90	90	650
23	17	90	90	391
25	18	90	90	450
24	20	90	90	480
18	23	90	90	414
21	19	90	90	399
16	16	90	90	256
26	20	90	90	520
25	17	90	90	425
23	21	90	90	483
21	23	90	90	483
17	16	90	90	272
16	24	90	90	384
16	26	90	90	416
16	17	90	90	272
24	17	90	90	408
25	20	90	90	500
19	24	90	90	456
26	16	90	90	416
19	16	90	90	304
16	20	90	90	320
24	16	90	90	384
18	26	90	90	468
22	20	90	90	440
21	18	90	90	378
19	25	90	90	475
17	25	90	90	425
21	25	90	90	525
17	21	90	90	357
17	17	90	90	289
24	25	90	90	600
24	21	90	90	504
18	25	90	90	450
20	16	90	90	320
23	18	90	90	414
25	23	90	90	575
22	26	90	90	572
16	18	90	90	288
26	22	90	90	572
26	17	90	90	442
23	24	90	90	552
23	26	90	90	598
16	21	90	90	336
16	25	90	90	400
24	26	90	90	624
22	17	90	90	374
21	26	90	90	546
20	19	90	90	380
150	150
64
24	25	90	90	600
20	19	90	90	380
16	23	90	90	368
16	16	90	90	256
22	25	90	90	550
26	20	90	90	520
25	24	90	90	600
24	16	90	90	384
17	20	90	90	340
21	20	90	90	420
25	20	90	90	500
26	26	90	90	676
26	25	90	90	650
20	17	90	90	340
21	26	90	90	546
23	16	90	90	368
25	26	90	90	650
26	19	90	90	494
23	25	90	90	575
16	25	90	90	400
17	25	90	90	425
23	26	90	90	598
18	18	90	90	324
23	20	90	90	460
16	21	90	90	336
25	16	90	90	400
16	26	90	90	416
20	18	90	90	360
17	16	90	90	272
19	23	90	90	437
26	21	90	90	546
18	22	90	90	396
19	24	90	90	456
22	19	90	90	418
20	22	90	90	440
23	21	90	90	483
20	26	90	90	520
26	16	90	90	416
19	21	90	90	399
18	16	90	90	288
17	17	90	90	289
22	21	90	90	462
17	26	90	90	442
26	17	90	90	442
19	25	90	90	475
22	16	90	90	352
17	22	90	90	374
24	26	90	90	624
21	25	90	90	525
25	23	90	90	575
19	20	90	90	380
18	24	90	90	432
20	21	90	90	420
24	17	90	90	408
23	24	90	90	552
16	22	90	90	352
24	20	90	90	480
22	18	90	90	396
19	26	90	90	494
18	26	90	90	468
24	22	90	90	528
26	24	90	90	624
17	24	90	90	408
19	16	90	90	304
150	150
54
16	16	90	90	256
25	23	90	90	575
24	26	90	90	624
23	26	90	90	598
21	19	90	90	399
25	26	90	90	650
16	26	90	90	416
18	21	90	90	378
18	26	90	90	468
17	16	90	90	272
18	25	90	90	450
21	21	90	90	441
21	26	90	90	546
18	16	90	90	288
23	17	90	90	391
23	21	90	90	483
22	25	90	90	550
16	25	90	90	400
19	19	90	90	361
21	18	90	90	378
16	19	90	90	304
26	18	90	90	468
17	24	90	90	408
22	21	90	90	462
20	18	90	90	360
26	19	90	90	494
19	18	90	90	342
18	17	90	90	306
20	24	90	90	480
26	26	90	90	676
19	25	90	90	475
19	24	90	90	456
20	17	90	90	340
26	16	90	90	416
19	23	90	90	437
25	17	90	90	425
19	26	90	90	494
22	16	90	90	352
23	16	90	90	368
20	23	90	90	460
23	19	90	90	437
26	17	90	90	442
26	21	90	90	546
22	19	90	90	418
26	20	90	90	520
26	24	90	90	624
25	24	90	90	600
17	18	90	90	306
22	24	90	90	528
21	24	90	90	504
23	24	90	90	552
24	21	90	90	504
17	26	90	90	442
16	18	90	90	288
150	150
45
20	26	90	90	520
16	16	90	90	256
19	17	90	90	323
22	21	90	90	462
16	17	90	90	272
25	25	90	90	625
19	25	90	90	475
16	26	90	90	416
22	26	90	90	572
26	16	90	90	416
26	17	90	90	442
22	16	90	90	352
21	19	90	90	399
17	24	90	90	408
19	26	90	90	494
24	16	90	90	384
22	22	90	90	484
21	25	90	90	525
18	21	90	90	378
19	18	90	90	342
23	16	90	90	368
24	17	90	90	408
26	26	90	90	676
22	19	90	90	418
25	16	90	90	400
26	24	90	90	624
26	21	90	90	546
24	26	90	90	624
19	22	90	90	418
25	19	90	90	475
20	16	90	90	320
25	17	90	90	425
21	26	90	90	546
16	21	90	90	336
18	16	90	90	288
17	19	90	90	323
26	18	90	90	468
16	23	90	90	368
16	22	90	90	352
18	22	90	90	396
16	24	90	90	384
26	25	90	90	650
18	26	90	90	468
18	25	90	90	450
23	18	90	90	414
150	150
87
26	25	90	90	650
26	17	90	90	442
24	25	90	90	600
21	23	90	90	483
20	20	90	90	400
16	20	90	90	320
26	18	90	90	468
26	26	90	90	676
20	24	90	90	480
19	25	90	90	475
18	23	90	90	414
17	25	90	90	425
16	17	90	90	272
17	17	90	90	289
23	17	90	90	391
16	16	90	90	256
26	20	90	90	520
16	25	90	90	400
23	23	90	90	529
21	26	90	90	546
24	22	90	90	528
18	22	90	90	396
19	16	90	90	304
16	18	90	90	288
20	26	90	90	520
26	16	90	90	416
17	16	90	90	272
16	22	90	90	352
17	26	90	90	442
24	21	90	90	504
25	23	90	90	575
17	23	90	90	391
17	22	90	90	374
21	18	90	90	378
20	21	90	90	420
23	20	90	90	460
22	16	90	90	352
24	17	90	90	408
18	17	90	90	306
16	19	90	90	304
18	16	90	90	288
17	21	90	90	357
25	16	90	90	400
26	19	90	90	494
17	20	90	90	340
25	26	90	90	650
19	17	90	90	323
25	21	90	90	525
25	18	90	90	450
18	26	90	90	468
19	24	90	90	456
20	18	90	90	360
21	24	90	90	504
21	16	90	90	336
16	26	90	90	416
16	24	90	90	384
19	20	90	90	380
16	23	90	90	368
20	22	90	90	440
19	26	90	90	494
26	22	90	90	572
21	25	90	90	525
24	16	90	90	384
19	18	90	90	342
24	26	90	90	624
23	26	90	90	598
25	17	90	90	425
22	20	90	90	440
17	19	90	90	323
25	20	90	90	500
18	25	90	90	450
17	24	90	90	408
25	25	90	90	625
22	19	90	90	418
21	20	90	90	420
25	19	90	90	475
26	24	90	90	624
22	23	90	90	506
26	23	90	90	598
21	21	90	90	441
23	21	90	90	483
17	18	90	90	306
16	21	90	90	336
23	16	90	90	368
24	18	90	90	432
23	18	90	90	414
22	26	90	90	572
150	150
35
18	16	90	90	288
16	26	90	90	416
17	23	90	90	391
20	19	90	90	380
26	26	90	90	676
20	18	90	90	360
22	24	90	90	528
23	25	90	90	575
24	16	90	90	384
19	16	90	90	304
25	20	90	90	500
22	16	90	90	352
20	25	90	90	500
16	16	90	90	256
17	26	90	90	442
16	20	90	90	320
25	24	90	90	600
21	25	90	90	525
17	16	90	90	272
21	21	90	90	441
26	18	90	90	468
20	26	90	90	520
25	26	90	90	650
16	24	90	90	384
19	19	90	90	361
18	18	90	90	324
26	21	90	90	546
26	19	90	90	494
26	17	90	90	442
25	25	90	90	625
16	25	90	90	400
26	16	90	90	416
26	22	90	90	572
17	18	90	90	306
21	19	90	90	399
150	150
44
26	24	90	90	624
18	22	90	90	396
26	18	90	90	468
26	26	90	90	676
17	25	90	90	425
21	20	90	90	420
20	16	90	90	320
23	20	90	90	460
26	23	90	90	598
22	26	90	90	572
23	17	90	90	391
16	16	90	90	256
22	24	90	90	528
17	23	90	90	391
23	22	90	90	506
23	25	90	90	575
23	16	90	90	368
26	19	90	90	494
17	22	90	90	374
17	18	90	90	306
16	17	90	90	272
17	17	90	90	289
20	25	90	90	500
26	22	90	90	572
20	21	90	90	420
16	23	90	90	368
21	26	90	90	546
24	16	90	90	384
23	19	90	90	437
17	16	90	90	272
18	16	90	90	288
16	25	90	90	400
22	22	90	90	484
24	26	90	90	624
18	23	90	90	414
24	22	90	90	528
24	23	90	90	552
25	16	90	90	400
23	21	90	90	483
20	20	90	90	400
26	16	90	90	416
16	26	90	90	416
26	20	90	90	520
26	21	90	90	546
150	150
89
26	18	90	90	468
26	26	90	90	676
22	22	90	90	484
23	21	90	90	483
25	26	90	90	650
20	19	90	90	380
16	16	90	90	256
17	21	90	90	357
18	20	90	90	360
19	23	90	90	437
25	18	90	90	450
26	16	90	90	416
16	26	90	90	416
26	19	90	90	494
23	20	90	90	460
20	18	90	90	360
20	21	90	90	420
26	21	90	90	546
22	21	90	90	462
16	25	90	90	400
16	22	90	90	352
25	22	90	90	550
21	25	90	90	525
16	19	90	90	304
18	16	90	90	288
19	24	90	90	456
26	17	90	90	442
20	16	90	90	320
16	24	90	90	384
17	16	90	90	272
22	16	90	90	352
20	26	90	90	520
24	16	90	90	384
17	26	90	90	442
17	25	90	90	425
23	23	90	90	529
23	25	90	90	575
16	17	90	90	272
24	17	90	90	408
19	18	90	90	342
26	22	90	90	572
25	16	90	90	400
18	17	90	90	306
16	20	90	90	320
26	25	90	90	650
23	26	90	90	598
22	26	90	90	572
21	26	90	90	546
22	17	90	90	374
23	19	90	90	437
17	24	90	90	408
17	17	90	90	289
17	18	90	90	306
24	21	90	90	504
26	24	90	90	624
22	24	90	90	528
16	18	90	90	288
18	26	90	90	468
16	23	90	90	368
20	24	90	90	480
19	16	90	90	304
26	23	90	90	598
18	19	90	90	342
23	16	90	90	368
25	20	90	90	500
21	16	90	90	336
23	24	90	90	552
20	17	90	90	340
25	24	90	90	600
25	25	90	90	625
21	22	90	90	462
24	18	90	90	432
21	21	90	90	441
24	19	90	90	456
18	25	90	90	450
20	20	90	90	400
17	22	90	90	374
24	20	90	90	480
24	25	90	90	600
25	19	90	90	475
22	25	90	90	550
19	17	90	90	323
26	20	90	90	520
16	21	90	90	336
18	23	90	90	414
21	18	90	90	378
24	22	90	90	528
23	18	90	90	414
21	23	90	90	483
150	150
59
21	26	90	90	546
24	16	90	90	384
21	17	90	90	357
24	18	90	90	432
20	16	90	90	320
17	22	90	90	374
26	19	90	90	494
16	25	90	90	400
16	26	90	90	416
26	20	90	90	520
23	20	90	90	460
19	16	90	90	304
21	18	90	90	378
17	24	90	90	408
25	16	90	90	400
26	16	90	90	416
26	17	90	90	442
23	22	90	90	506
18	26	90	90	468
17	25	90	90	425
19	26	90	90	494
22	18	90	90	396
21	16	90	90	336
18	24	90	90	432
26	26	90	90	676
22	25	90	90	550
19	24	90	90	456
17	23	90	90	391
26	24	90	90	624
25	26	90	90	650
18	16	90	90	288
23	23	90	90	529
25	19	90	90	475
22	26	90	90	572
16	17	90	90	272
16	21	90	90	336
18	18	90	90	324
20	20	90	90	400
18	17	90	90	306
16	16	90	90	256
25	23	90	90	575
17	16	90	90	272
25	24	90	90	600
20	26	90	90	520
17	26	90	90	442
23	26	90	90	598
18	22	90	90	396
16	23	90	90	368
23	24	90	90	552
20	24	90	90	480
20	22	90	90	440
26	25	90	90	650
16	24	90	90	384
19	22	90	90	418
18	25	90	90	450
23	19	90	90	437
26	18	90	90	468
16	19	90	90	304
19	18	90	90	342
150	150
28
16	16	90	90	256
26	26	90	90	676
25	25	90	90	625
26	20	90	90	520
18	24	90	90	432
21	16	90	90	336
21	17	90	90	357
22	24	90	90	528
19	16	90	90	304
16	25	90	90	400
26	17	90	90	442
26	22	90	90	572
26	16	90	90	416
23	22	90	90	506
25	19	90	90	475
18	20	90	90	360
16	26	90	90	416
17	19	90	90	323
23	25	90	90	575
23	26	90	90	598
24	16	90	90	384
25	24	90	90	600
26	18	90	90	468
19	26	90	90	494
16	19	90	90	304
16	20	90	90	320
24	18	90	90	432
18	26	90	90	468
150	150
70
16	16	90	90	256
22	22	90	90	484
25	26	90	90	650
18	24	90	90	432
18	16	90	90	288
21	22	90	90	462
17	16	90	90	272
17	21	90	90	357
22	23	90	90	506
18	18	90	90	324
25	25	90	90	625
26	23	90	90	598
26	20	90	90	520
20	18	90	90	360
21	21	90	90	441
16	17	90	90	272
17	23	90	90	391
16	25	90	90	400
17	19	90	90	323
20	20	90	90	400
21	16	90	90	336
26	26	90	90	676
17	18	90	90	306
26	25	90	90	650
20	16	90	90	320
23	26	90	90	598
17	17	90	90	289
26	21	90	90	546
19	17	90	90	323
20	21	90	90	420
16	21	90	90	336
16	20	90	90	320
19	18	90	90	342
19	24	90	90	456
24	26	90	90	624
20	26	90	90	520
23	19	90	90	437
21	18	90	90	378
26	17	90	90	442
24	16	90	90	384
26	16	90	90	416
21	26	90	90	546
18	23	90	90	414
16	24	90	90	384
23	18	90	90	414
23	25	90	90	575
19	26	90	90	494
25	19	90	90	475
19	21	90	90	399
26	22	90	90	572
24	20	90	90	480
23	16	90	90	368
16	26	90	90	416
19	23	90	90	437
21	25	90	90	525
20	24	90	90	480
17	22	90	90	374
17	25	90	90	425
19	19	90	90	361
18	26	90	90	468
18	17	90	90	306
20	22	90	90	440
24	18	90	90	432
17	24	90	90	408
16	23	90	90	368
16	18	90	90	288
22	17	90	90	374
19	20	90	90	380
25	18	90	90	450
23	22	90	90	506
150	150
36
23	16	90	90	368
16	17	90	90	272
18	26	90	90	468
20	26	90	90	520
26	16	90	90	416
16	22	90	90	352
16	21	90	90	336
26	17	90	90	442
16	26	90	90	416
22	18	90	90	396
24	21	90	90	504
21	25	90	90	525
22	24	90	90	528
22	19	90	90	418
19	17	90	90	323
22	21	90	90	462
16	23	90	90	368
20	21	90	90	420
22	16	90	90	352
25	17	90	90	425
16	18	90	90	288
16	16	90	90	256
26	26	90	90	676
17	26	90	90	442
17	22	90	90	374
26	19	90	90	494
19	18	90	90	342
20	17	90	90	340
26	21	90	90	546
18	16	90	90	288
16	20	90	90	320
26	23	90	90	598
17	18	90	90	306
23	26	90	90	598
24	25	90	90	600
19	26	90	90	494
150	150
72
18	19	90	90	342
26	25	90	90	650
19	25	90	90	475
23	16	90	90	368
19	18	90	90	342
23	25	90	90	575
19	24	90	90	456
17	21	90	90	357
26	19	90	90	494
21	20	90	90	420
16	21	90	90	336
16	26	90	90	416
23	17	90	90	391
25	22	90	90	550
17	26	90	90	442
19	16	90	90	304
24	25	90	90	600
20	16	90	90	320
21	23	90	90	483
24	21	90	90	504
20	21	90	90	420
16	16	90	90	256
26	21	90	90	546
16	20	90	90	320
25	18	90	90	450
25	25	90	90	625
22	22	90	90	484
26	26	90	90	676
26	20	90	90	520
26	17	90	90	442
22	25	90	90	550
26	23	90	90	598
22	24	90	90	528
24	20	90	90	480
26	18	90	90	468
21	16	90	90	336
21	18	90	90	378
18	26	90	90	468
17	25	90	90	425
26	16	90	90	416
22	17	90	90	374
17	24	90	90	408
16	18	90	90	288
17	23	90	90	391
24	16	90	90	384
17	19	90	90	323
17	17	90	90	289
22	16	90	90	352
24	23	90	90	552
24	18	90	90	432
18	24	90	90	432
25	23	90	90	575
18	16	90	90	288
26	22	90	90	572
20	20	90	90	400
