***2D Rectangular Problem***
***Instances for the Single Large Object Placement Problem (SLOPP)***
Input parameter file: oi.txt
***************************************************************************************************************
Total number of instances 
LargeObject.Length	LargeObject.Width
Number of different item types (i)
Item[i].Length	Item[i].Width	Item[i].LowerBoundDemand	Item[i].UpperBoundDemand	Item[i].Value
***************************************************************************************************************
500
150	150
90
7	12	90	90	84
8	19	90	90	152
1	10	90	90	10
48	13	90	90	624
1	11	90	90	11
48	17	90	90	816
4	10	90	90	40
49	7	90	90	343
11	34	90	90	374
27	7	90	90	189
52	25	90	90	1300
1	19	90	90	19
15	30	90	90	450
4	12	90	90	48
18	9	90	90	162
49	13	90	90	637
48	4	90	90	192
51	9	90	90	459
51	16	90	90	816
37	16	90	90	592
11	13	90	90	143
47	28	90	90	1316
37	30	90	90	1110
1	9	90	90	9
15	13	90	90	195
26	11	90	90	286
19	18	90	90	342
38	6	90	90	228
4	7	90	90	28
48	20	90	90	960
42	22	90	90	924
21	3	90	90	63
47	14	90	90	658
35	10	90	90	350
36	34	90	90	1224
40	13	90	90	520
32	9	90	90	288
45	5	90	90	225
17	11	90	90	187
1	24	90	90	24
38	18	90	90	684
31	23	90	90	713
24	6	90	90	144
43	19	90	90	817
1	12	90	90	12
11	5	90	90	55
22	18	90	90	396
52	26	90	90	1352
30	8	90	90	240
6	22	90	90	132
12	20	90	90	240
10	32	90	90	320
28	9	90	90	252
1	20	90	90	20
23	29	90	90	667
52	29	90	90	1508
46	13	90	90	598
8	16	90	90	128
52	15	90	90	780
34	13	90	90	442
52	28	90	90	1456
7	9	90	90	63
33	9	90	90	297
6	8	90	90	48
29	18	90	90	522
8	11	90	90	88
31	5	90	90	155
7	7	90	90	49
46	14	90	90	644
2	3	90	90	6
33	14	90	90	462
30	19	90	90	570
18	26	90	90	468
22	20	90	90	440
37	36	90	90	1332
11	11	90	90	121
52	12	90	90	624
5	24	90	90	120
5	16	90	90	80
8	5	90	90	40
26	3	90	90	78
24	29	90	90	696
43	11	90	90	473
6	14	90	90	84
33	3	90	90	99
51	11	90	90	561
3	11	90	90	33
1	13	90	90	13
3	5	90	90	15
49	21	90	90	1029
150	150
90
46	13	90	90	598
32	10	90	90	320
11	4	90	90	44
4	14	90	90	56
14	26	90	90	364
7	28	90	90	196
6	19	90	90	114
6	9	90	90	54
1	7	90	90	7
5	6	90	90	30
48	11	90	90	528
47	21	90	90	987
2	21	90	90	42
50	3	90	90	150
47	15	90	90	705
13	26	90	90	338
48	32	90	90	1536
6	30	90	90	180
52	16	90	90	832
3	11	90	90	33
40	12	90	90	480
44	24	90	90	1056
2	14	90	90	28
30	7	90	90	210
1	16	90	90	16
45	9	90	90	405
1	31	90	90	31
1	4	90	90	4
22	10	90	90	220
16	18	90	90	288
29	8	90	90	232
17	7	90	90	119
4	20	90	90	80
39	10	90	90	390
12	18	90	90	216
1	14	90	90	14
32	5	90	90	160
4	27	90	90	108
32	3	90	90	96
1	8	90	90	8
11	5	90	90	55
9	34	90	90	306
52	18	90	90	936
1	5	90	90	5
26	7	90	90	182
39	17	90	90	663
18	20	90	90	360
2	11	90	90	22
33	19	90	90	627
3	27	90	90	81
48	6	90	90	288
2	18	90	90	36
10	14	90	90	140
46	27	90	90	1242
16	13	90	90	208
29	5	90	90	145
45	8	90	90	360
36	23	90	90	828
13	10	90	90	130
2	25	90	90	50
39	9	90	90	351
1	19	90	90	19
36	10	90	90	360
2	12	90	90	24
40	24	90	90	960
50	6	90	90	300
20	2	90	90	40
52	13	90	90	676
52	23	90	90	1196
29	7	90	90	203
2	3	90	90	6
52	25	90	90	1300
52	11	90	90	572
47	7	90	90	329
13	19	90	90	247
3	26	90	90	78
46	8	90	90	368
13	8	90	90	104
51	20	90	90	1020
16	17	90	90	272
1	11	90	90	11
22	23	90	90	506
37	11	90	90	407
1	20	90	90	20
30	18	90	90	540
32	17	90	90	544
13	17	90	90	221
3	16	90	90	48
39	1	90	90	39
9	11	90	90	99
150	150
90
1	35	90	90	35
17	17	90	90	289
2	29	90	90	58
27	7	90	90	189
23	6	90	90	138
1	23	90	90	23
20	19	90	90	380
51	12	90	90	612
11	9	90	90	99
51	21	90	90	1071
9	34	90	90	306
8	15	90	90	120
28	4	90	90	112
1	22	90	90	22
16	14	90	90	224
24	19	90	90	456
7	4	90	90	28
50	28	90	90	1400
18	10	90	90	180
45	13	90	90	585
46	25	90	90	1150
44	10	90	90	440
52	25	90	90	1300
25	25	90	90	625
11	5	90	90	55
41	21	90	90	861
50	16	90	90	800
4	23	90	90	92
1	18	90	90	18
49	10	90	90	490
1	14	90	90	14
6	7	90	90	42
33	24	90	90	792
6	22	90	90	132
9	13	90	90	117
9	14	90	90	126
48	24	90	90	1152
45	12	90	90	540
5	38	90	90	190
11	30	90	90	330
52	12	90	90	624
46	21	90	90	966
27	11	90	90	297
20	16	90	90	320
10	12	90	90	120
20	26	90	90	520
18	12	90	90	216
4	3	90	90	12
18	19	90	90	342
29	11	90	90	319
45	15	90	90	675
46	19	90	90	874
52	8	90	90	416
4	27	90	90	108
50	11	90	90	550
51	9	90	90	459
37	15	90	90	555
5	9	90	90	45
15	22	90	90	330
7	9	90	90	63
40	21	90	90	840
40	15	90	90	600
12	22	90	90	264
8	8	90	90	64
49	19	90	90	931
51	27	90	90	1377
31	14	90	90	434
21	28	90	90	588
5	10	90	90	50
46	10	90	90	460
51	16	90	90	816
52	16	90	90	832
6	2	90	90	12
39	26	90	90	1014
50	47	90	90	2350
51	7	90	90	357
25	8	90	90	200
52	7	90	90	364
2	13	90	90	26
33	14	90	90	462
14	5	90	90	70
21	11	90	90	231
8	10	90	90	80
40	22	90	90	880
6	14	90	90	84
19	15	90	90	285
3	7	90	90	21
12	9	90	90	108
14	10	90	90	140
23	32	90	90	736
150	150
90
7	13	90	90	91
24	14	90	90	336
47	13	90	90	611
52	29	90	90	1508
52	23	90	90	1196
52	9	90	90	468
6	5	90	90	30
48	12	90	90	576
1	6	90	90	6
1	22	90	90	22
14	25	90	90	350
1	18	90	90	18
10	5	90	90	50
19	9	90	90	171
40	17	90	90	680
7	27	90	90	189
11	10	90	90	110
34	13	90	90	442
25	14	90	90	350
7	8	90	90	56
5	28	90	90	140
48	9	90	90	432
1	13	90	90	13
23	8	90	90	184
1	11	90	90	11
16	3	90	90	48
35	28	90	90	980
27	16	90	90	432
29	20	90	90	580
43	11	90	90	473
52	15	90	90	780
21	13	90	90	273
39	17	90	90	663
4	13	90	90	52
8	29	90	90	232
12	11	90	90	132
30	10	90	90	300
8	21	90	90	168
7	5	90	90	35
30	14	90	90	420
8	27	90	90	216
18	18	90	90	324
34	37	90	90	1258
48	31	90	90	1488
28	15	90	90	420
52	8	90	90	416
48	23	90	90	1104
46	19	90	90	874
51	23	90	90	1173
46	13	90	90	598
6	34	90	90	204
1	33	90	90	33
35	16	90	90	560
1	3	90	90	3
49	17	90	90	833
4	5	90	90	20
10	11	90	90	110
26	34	90	90	884
9	9	90	90	81
39	9	90	90	351
23	35	90	90	805
7	32	90	90	224
30	28	90	90	840
51	9	90	90	459
52	4	90	90	208
40	4	90	90	160
14	18	90	90	252
52	11	90	90	572
33	12	90	90	396
1	38	90	90	38
51	4	90	90	204
50	7	90	90	350
46	15	90	90	690
2	15	90	90	30
47	10	90	90	470
52	14	90	90	728
7	33	90	90	231
3	5	90	90	15
44	17	90	90	748
39	27	90	90	1053
37	27	90	90	999
28	12	90	90	336
45	23	90	90	1035
4	29	90	90	116
14	14	90	90	196
10	32	90	90	320
7	7	90	90	49
14	20	90	90	280
26	15	90	90	390
5	27	90	90	135
150	150
90
3	13	90	90	39
51	17	90	90	867
46	19	90	90	874
9	7	90	90	63
47	12	90	90	564
52	39	90	90	2028
29	12	90	90	348
26	10	90	90	260
5	12	90	90	60
51	11	90	90	561
8	18	90	90	144
29	14	90	90	406
52	10	90	90	520
11	23	90	90	253
13	14	90	90	182
15	26	90	90	390
2	10	90	90	20
9	22	90	90	198
42	9	90	90	378
47	31	90	90	1457
41	10	90	90	410
8	21	90	90	168
52	13	90	90	676
51	5	90	90	255
17	17	90	90	289
5	37	90	90	185
7	37	90	90	259
52	7	90	90	364
48	15	90	90	720
50	8	90	90	400
39	21	90	90	819
21	17	90	90	357
35	12	90	90	420
44	29	90	90	1276
9	9	90	90	81
29	27	90	90	783
2	16	90	90	32
30	24	90	90	720
11	16	90	90	176
52	19	90	90	988
52	6	90	90	312
1	17	90	90	17
6	24	90	90	144
39	18	90	90	702
4	28	90	90	112
49	2	90	90	98
52	16	90	90	832
5	8	90	90	40
9	24	90	90	216
31	5	90	90	155
46	7	90	90	322
6	5	90	90	30
17	16	90	90	272
1	29	90	90	29
26	13	90	90	338
50	5	90	90	250
45	12	90	90	540
1	16	90	90	16
35	5	90	90	175
39	20	90	90	780
34	12	90	90	408
4	7	90	90	28
49	6	90	90	294
50	16	90	90	800
28	21	90	90	588
1	21	90	90	21
52	5	90	90	260
7	3	90	90	21
6	19	90	90	114
19	38	90	90	722
40	4	90	90	160
32	16	90	90	512
29	20	90	90	580
49	13	90	90	637
5	10	90	90	50
16	24	90	90	384
3	16	90	90	48
1	8	90	90	8
1	38	90	90	38
19	18	90	90	342
4	4	90	90	16
1	5	90	90	5
25	7	90	90	175
52	18	90	90	936
33	17	90	90	561
16	6	90	90	96
1	15	90	90	15
51	39	90	90	1989
46	15	90	90	690
52	15	90	90	780
150	150
90
1	9	90	90	9
2	29	90	90	58
35	15	90	90	525
28	7	90	90	196
23	20	90	90	460
15	13	90	90	195
2	17	90	90	34
27	26	90	90	702
32	18	90	90	576
17	6	90	90	102
52	21	90	90	1092
50	24	90	90	1200
1	23	90	90	23
50	16	90	90	800
36	10	90	90	360
51	6	90	90	306
25	22	90	90	550
1	16	90	90	16
51	16	90	90	816
5	13	90	90	65
23	13	90	90	299
4	13	90	90	52
51	10	90	90	510
49	32	90	90	1568
20	19	90	90	380
19	22	90	90	418
13	17	90	90	221
6	21	90	90	126
4	8	90	90	32
6	8	90	90	48
34	8	90	90	272
2	7	90	90	14
49	13	90	90	637
3	21	90	90	63
37	16	90	90	592
27	28	90	90	756
39	16	90	90	624
2	20	90	90	40
32	31	90	90	992
45	16	90	90	720
14	22	90	90	308
49	18	90	90	882
3	28	90	90	84
4	15	90	90	60
29	6	90	90	174
49	23	90	90	1127
28	13	90	90	364
35	21	90	90	735
8	32	90	90	256
8	16	90	90	128
7	7	90	90	49
15	9	90	90	135
6	27	90	90	162
37	22	90	90	814
21	31	90	90	651
1	30	90	90	30
8	9	90	90	72
5	10	90	90	50
18	27	90	90	486
3	9	90	90	27
47	2	90	90	94
7	14	90	90	98
31	7	90	90	217
14	17	90	90	238
9	13	90	90	117
44	28	90	90	1232
32	2	90	90	64
44	11	90	90	484
26	8	90	90	208
11	16	90	90	176
49	27	90	90	1323
41	6	90	90	246
14	34	90	90	476
8	8	90	90	64
43	29	90	90	1247
5	1	90	90	5
52	10	90	90	520
22	22	90	90	484
16	14	90	90	224
5	17	90	90	85
17	19	90	90	323
26	2	90	90	52
5	7	90	90	35
30	19	90	90	570
2	23	90	90	46
1	21	90	90	21
1	14	90	90	14
50	30	90	90	1500
5	14	90	90	70
13	19	90	90	247
150	150
90
16	10	90	90	160
2	5	90	90	10
51	25	90	90	1275
40	39	90	90	1560
36	27	90	90	972
52	13	90	90	676
51	20	90	90	1020
29	4	90	90	116
19	13	90	90	247
2	18	90	90	36
51	37	90	90	1887
50	9	90	90	450
16	20	90	90	320
32	1	90	90	32
9	18	90	90	162
52	41	90	90	2132
1	11	90	90	11
23	11	90	90	253
52	32	90	90	1664
22	22	90	90	484
13	17	90	90	221
11	21	90	90	231
2	21	90	90	42
1	9	90	90	9
2	10	90	90	20
44	20	90	90	880
3	2	90	90	6
32	16	90	90	512
5	10	90	90	50
6	22	90	90	132
48	8	90	90	384
35	6	90	90	210
1	21	90	90	21
17	21	90	90	357
24	35	90	90	840
13	24	90	90	312
40	23	90	90	920
28	12	90	90	336
2	7	90	90	14
46	16	90	90	736
34	8	90	90	272
16	11	90	90	176
52	9	90	90	468
40	21	90	90	840
12	21	90	90	252
11	24	90	90	264
47	11	90	90	517
22	5	90	90	110
18	20	90	90	360
27	9	90	90	243
52	22	90	90	1144
43	13	90	90	559
52	18	90	90	936
30	12	90	90	360
1	16	90	90	16
46	8	90	90	368
21	23	90	90	483
1	14	90	90	14
24	11	90	90	264
3	15	90	90	45
3	18	90	90	54
1	12	90	90	12
51	7	90	90	357
50	22	90	90	1100
3	24	90	90	72
8	18	90	90	144
47	15	90	90	705
42	19	90	90	798
35	10	90	90	350
7	14	90	90	98
33	2	90	90	66
11	7	90	90	77
2	23	90	90	46
8	17	90	90	136
21	12	90	90	252
51	38	90	90	1938
22	10	90	90	220
51	26	90	90	1326
1	10	90	90	10
1	17	90	90	17
33	5	90	90	165
45	19	90	90	855
16	13	90	90	208
31	9	90	90	279
52	10	90	90	520
24	8	90	90	192
3	8	90	90	24
24	3	90	90	72
42	25	90	90	1050
46	10	90	90	460
150	150
90
50	14	90	90	700
5	28	90	90	140
33	12	90	90	396
43	10	90	90	430
3	4	90	90	12
50	16	90	90	800
52	23	90	90	1196
29	9	90	90	261
13	6	90	90	78
28	9	90	90	252
17	14	90	90	238
46	28	90	90	1288
4	22	90	90	88
47	2	90	90	94
30	25	90	90	750
19	4	90	90	76
13	17	90	90	221
14	5	90	90	70
14	35	90	90	490
15	25	90	90	375
9	14	90	90	126
14	6	90	90	84
28	15	90	90	420
1	5	90	90	5
39	7	90	90	273
4	15	90	90	60
10	3	90	90	30
20	4	90	90	80
1	23	90	90	23
21	23	90	90	483
3	10	90	90	30
31	32	90	90	992
3	26	90	90	78
7	9	90	90	63
35	5	90	90	175
31	10	90	90	310
47	11	90	90	517
52	17	90	90	884
15	24	90	90	360
24	8	90	90	192
51	9	90	90	459
3	9	90	90	27
2	13	90	90	26
2	12	90	90	24
52	7	90	90	364
2	4	90	90	8
13	4	90	90	52
30	2	90	90	60
49	10	90	90	490
51	10	90	90	510
6	6	90	90	36
19	19	90	90	361
43	9	90	90	387
48	10	90	90	480
50	10	90	90	500
48	15	90	90	720
38	15	90	90	570
39	25	90	90	975
14	17	90	90	238
43	15	90	90	645
43	16	90	90	688
47	6	90	90	282
37	14	90	90	518
52	29	90	90	1508
20	26	90	90	520
36	17	90	90	612
6	5	90	90	30
10	18	90	90	180
50	15	90	90	750
41	30	90	90	1230
52	34	90	90	1768
1	25	90	90	25
39	16	90	90	624
11	18	90	90	198
6	21	90	90	126
52	13	90	90	676
1	9	90	90	9
27	27	90	90	729
23	11	90	90	253
34	12	90	90	408
13	16	90	90	208
1	12	90	90	12
51	13	90	90	663
49	17	90	90	833
31	15	90	90	465
28	22	90	90	616
39	9	90	90	351
28	23	90	90	644
28	16	90	90	448
47	12	90	90	564
150	150
90
2	4	90	90	8
18	18	90	90	324
16	19	90	90	304
1	15	90	90	15
31	17	90	90	527
52	32	90	90	1664
52	16	90	90	832
5	9	90	90	45
47	9	90	90	423
47	24	90	90	1128
52	26	90	90	1352
14	18	90	90	252
27	9	90	90	243
3	22	90	90	66
49	43	90	90	2107
44	12	90	90	528
34	18	90	90	612
2	17	90	90	34
3	13	90	90	39
3	18	90	90	54
52	17	90	90	884
15	10	90	90	150
49	29	90	90	1421
12	14	90	90	168
49	18	90	90	882
3	11	90	90	33
52	4	90	90	208
52	21	90	90	1092
52	22	90	90	1144
4	25	90	90	100
52	13	90	90	676
51	13	90	90	663
47	21	90	90	987
26	24	90	90	624
32	9	90	90	288
36	11	90	90	396
7	20	90	90	140
52	20	90	90	1040
11	4	90	90	44
13	7	90	90	91
4	17	90	90	68
6	33	90	90	198
7	22	90	90	154
52	2	90	90	104
51	17	90	90	867
47	30	90	90	1410
1	10	90	90	10
13	26	90	90	338
5	17	90	90	85
12	25	90	90	300
42	16	90	90	672
1	21	90	90	21
24	12	90	90	288
34	16	90	90	544
5	11	90	90	55
18	6	90	90	108
52	15	90	90	780
2	13	90	90	26
39	9	90	90	351
42	14	90	90	588
47	13	90	90	611
5	20	90	90	100
26	6	90	90	156
41	5	90	90	205
2	30	90	90	60
24	14	90	90	336
41	14	90	90	574
43	12	90	90	516
45	20	90	90	900
10	10	90	90	100
1	24	90	90	24
43	22	90	90	946
26	16	90	90	416
35	19	90	90	665
31	9	90	90	279
24	16	90	90	384
1	7	90	90	7
52	8	90	90	416
17	21	90	90	357
44	33	90	90	1452
6	17	90	90	102
36	12	90	90	432
31	14	90	90	434
30	22	90	90	660
29	6	90	90	174
32	15	90	90	480
6	35	90	90	210
13	18	90	90	234
27	22	90	90	594
47	16	90	90	752
150	150
90
35	22	90	90	770
9	38	90	90	342
34	12	90	90	408
21	13	90	90	273
11	5	90	90	55
4	1	90	90	4
1	5	90	90	5
52	13	90	90	676
44	15	90	90	660
4	31	90	90	124
52	10	90	90	520
52	7	90	90	364
52	12	90	90	624
9	5	90	90	45
41	17	90	90	697
1	12	90	90	12
3	25	90	90	75
9	10	90	90	90
26	14	90	90	364
1	21	90	90	21
42	23	90	90	966
4	5	90	90	20
14	14	90	90	196
52	29	90	90	1508
8	11	90	90	88
24	18	90	90	432
3	21	90	90	63
4	8	90	90	32
2	14	90	90	28
15	7	90	90	105
4	23	90	90	92
33	9	90	90	297
33	22	90	90	726
31	12	90	90	372
8	25	90	90	200
51	18	90	90	918
44	13	90	90	572
50	1	90	90	50
39	14	90	90	546
15	19	90	90	285
7	16	90	90	112
12	16	90	90	192
1	26	90	90	26
31	30	90	90	930
19	15	90	90	285
47	14	90	90	658
52	11	90	90	572
52	23	90	90	1196
2	17	90	90	34
35	12	90	90	420
20	29	90	90	580
36	6	90	90	216
48	19	90	90	912
1	31	90	90	31
52	5	90	90	260
8	6	90	90	48
